Title,Author,Year,Subjects
Transgenderwarriors:makinghistoryfrom Joanof Arcto Ru Paul c 1996,,,"['|Transsexualism--History.', 'Cross-dressing--History.', 'Genderidentity--History. Leslie Feinberg.']"
Second skins thebodynarrativesoftranssexuality,Jay Prosser,1998,['Transsexualism.']
"Transgenderrights andpolitics:groups, issue framing,andpolicy 2014",,,"['Transgenderpeople--Civilrights.', 'Transgenderpeople--Legalstatus,laws,etc.', 'Sexandlaw. adoption/editedby Jami K. Taylorand Donald P.Haider-Markel.']"
Transformingcitizenships:transgender articulations ofthelaw,[2014] Transgenderpeople--Identity,2025,"['Transgenderpeople--Civilrights.', 'Transgenderpeople--Politicalactivity.', 'Transsexuals--Civilrights.', 'Transsexuals--Politicalactivity. Isaac West. Page 10 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Thelivesoftransgenderpeople,Genny Beemynand Susan Rankin,2011,"['Transgenderpeople--United States.', 'Transgenderyouth--United States.', 'Genderidentity--United States.']"
"Gender,youthandculture:youngmasculinities andfemininities",2008,,"['Teenagers.', 'Adolescence.', 'Genderidentity.', 'Popularculture. Anoop Nayakand Mary Jane Kehily.']"
Theorizinggender,"Rachel Alsop, Annette Fitzsimons and 2002",,"['Sexrole.', 'Genderidentity.', 'Sexdifferences(Psychology) Kathleen Lennonwithaguestchapter onpsychoanalysisby Ros Minsky.']"
Thelensesofgender:transforming the debateonsexualinequality c 1993,,,"['Sexrole.', 'Sexdifferences(Psychology)', 'Sexism.', 'Equality.', 'Gender identity. /Sandra Lipsitz Bem.']"
Gender,Harriet Bradley,2007,"['Genderidentity--Socialaspects.', 'Genderidentity--Politicalaspects.', 'Sexrole.', 'Sexdifferences.']"
Acompaniontogenderhistory,edited by Teresa A,2004,"['Meadeand 2004. Sexrole--History.', 'Genderidentity--History.', 'Sexrole--Cross-culturalstudies.', 'Genderidentity--Cross-culturalstudies.', 'Feministtheory. Merry E.Wiesner-Hanks.']"
Examiningidentityinsports media,"editors,Heather L",2010,"['Hundley, c 2010. Genderidentity.', 'Genderidentityinmassmedia.', 'Communicationinsports. Andrew C.Billings.']"
Sexingthebody:genderpolitics andtheconstructionofsexuality,c 2000,,"['Sexdifferences.', 'Genderidentity.', 'Sexdifferentiation.', 'Intersexuality.', 'Sex(Biology)', 'Sexrole. Anne Fausto-Sterling.']"
Genderissues incontemporarysociety,"Stuart Oskamp,Mark c 1993",,"['Sexrole--Congresses.', 'Sexdifferences(Psychology)--Congresses.', 'Socialization--Congresses.', 'Genderidentity--Congresses. Costanzo,editors.']"
"Intimatecitizenships:gender, sexualities,politics",editedby 2009,,"['Genderidentity.', 'Sexrole.', 'Citizenship. El?bieta H.Oleksy.']"
Thegenderedsociety,Michael S,2004,"['Kimmel. 2004. Sexrole.', 'Sexdifferences(Psychology)', 'Genderidentity.', 'Sexdiscrimination.', 'Equality.']"
Paradoxesofgender,Judith Lorber,1994,"['Sexrole.', 'Genderidentity.', 'Socialinstitutions.', 'Feministtheory.']"
S,"hebrain science,sexualpolitics,and themythsoffeminism/ 1996",,"['Sexrole.', 'Genderidentity.', 'Sexdifferences(Psychology)', 'Brain--Sexdifferences.', 'Feministtheory. Robert L.Nadeau.']"
Differentbutequal:communicationbetweenthesexes,Kay E,2001,"['Sexrole.', 'Interpersonalcommunication.', 'Communication--Sexdifferences.', 'Communicationinsex.', 'Genderidentity.', 'Feminism. Payne.']"
"Perceivinggenderlocally,globally,andintersectionally",editedby 2009,,"['Genderidentity. Vasilikie Demos,Marcia Texler Segal.']"
Raceandthesubjectofmasculinities,Harry Stecopoulos and 1997,,"['Sexrole.', 'Race.', 'Gender identity.', 'Masculinity.', 'Men--Psychology. Michael Uebel,editors.']"
Gender circuits:bodiesandidentitiesina technologicalage,Eve 2010,,"['Gender identity.', 'Gendernonconformity. Shapiro.']"
Theundergroundgirls of Kabul:insearchofahidden resistancein [2014] Genderidentity--Afghanistan,,,"['Sexrole--Afghanistan.', 'Maleimpersonators--Afghanistan.', 'Women--Afghanistan--Socialconditions.', 'Girls--Afghanistan--Socialconditions. Afghanistan/Jenny Nordberg.']"
Gender inearlymodern Germanhistory,editedby Ulinka Rublack,2002,"['Genderidentity--Germany--History--16 thcentury.', 'Genderidentity--Germany--History--17 thcentury.', 'Genderidentity--Germany--History--18 thcentury.', 'Germany--Sociallifeandcustoms-- |16 thcentury.', 'Germany--Sociallifeandcustoms--17 thcentury.', 'Germany--Sociallifeandcustoms--18 thcentury.']"
Themasculinewomanin Weimar Germany,Katie Sutton,2011,"['Sexrole--Germany--History--20 thcentury.', 'Women--Germany--History--20 thcentury.', 'Lesbians--Germany--History--20 thcentury.', 'Genderidentity--Germany--History--20 thcentury.', 'Germany--History--1918-1933.']"
Genderthroughtimein theancient Near East,editedby Diane c 2008,,"['Genderidentity--Middle East.', 'Sexrole--Middle East.', 'Middle East--Antiquities. Bolger.']"
Genderpluralism southeast Asia sinceearlymoderntimes,2009,,"['Gender identity--Southeast Asia.', 'Sexcustoms--Southeast Asia.', 'Sexrole--Southeast Asia.', 'Transgenderpeople--Southeast Asia. Michael G.Peletz.']"
Genderingbodies,Sara L,2008,"['Crawley, Lara J.Foley, Constance L. c 2008. Sexrole--United States.', 'Sex--Socialaspects--United States.', 'Sexualorientation--United States.', 'Genderidentity--United States. Shehan.']"
Thespecterofsex:gendered foundationsofracialformationinthe c 2009,,2025,"['Sexrole--United States--History.', 'Genderidentity--United States--History.', 'Blacks--Raceidentity.', 'Whites--Raceidentity. United States /Sally L.Kitch. Page 11 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Masculinityfromthe inside: gendertheory'smissingpiece,Bruce 2023,,"['Men--Psychology.', 'Genderidentity. Fleming.']"
Themasculinemystique: the politicsofmasculinity,Andrew 1995,,"['Men--United States.', 'Genderidentity--United States.', 'Masculinity--United States.', 'Sexrole--United States. Kimbrell.']"
Imaginedmasculinities: maleidentityandcultureinthemodern 2000,,,"['Masculinity--Middle East.', 'Genderidentity--Middle East.', 'Men--Middle East--Socialconditions. Middle East/editedby Mai Ghoussouband Emma Sinclair-Webb.']"
"Hermeneuticsandhonor:negotiatingfemale""public""spacein c 1999",,,"['Genderidentity--Islamic countries.', 'Women--Islamiccountries--Socialconditions.', 'Feminism--Islamiccountries.', 'Hermeneutics--Religiousaspects--Islam. Islamic/atesocieties/edited by Asma Afsaruddin', 'forewordby Mary-Jo Del Vecchio Good', 'withcontributionsby Anan Ameri... [etal.]']"
Gender,editedby Mary Evans,2011,"[""Women'sstudies."", 'Feministtheory.', 'Feminism.', 'Genderidentity.']"
Gender,editedby Mary Evans,2011,"[""Women'sstudies."", 'Feministtheory.', 'Feminism.', 'Genderidentity.']"
Gender,editedby Mary Evans,2011,"[""Women'sstudies."", 'Feministtheory.', 'Feminism.', 'Genderidentity.']"
Gender,editedby Mary Evans,2011,"[""Women'sstudies."", 'Feministtheory.', 'Feminism.', 'Genderidentity.']"
Feminismandantiracism : international struggles forjustice,c 2001,,"['Feministtheory.', 'Feminism.', 'Racism.', 'Sexdiscriminationagainstwomen.', 'Racediscrimination. editedby France Winddance Twineand Kathleen M. Blee.']"
Feminismis queer:theintimateconnectionbetweenqueerand 2010,,,"['Feministtheory.', 'Queertheory.', 'Genderidentity. feministtheory/Mimi Marinucci.']"
"Whatarewefightingfor?: sex,race,class,andthefutureof 1998",,,"['Feministtheory--Evaluation.', 'Feministcriticism.', 'Racism.', 'Socialclasses.', 'Socialconflict. feminism/Joanna Russ.']"
Handbookofthe psychologyofwomenandgender,editedby c 2001,,"['Women--Psychology.', 'Genderidentity. Rhoda K.Unger.']"
"Women, men&gender : ongoingdebates",editedby Mary Roth c 1997,,"['Women--Psychology.', 'Men--Psychology.', 'Sexdifferences(Psychology)', 'Genderidentity. Walsh.']"
Whitewomen'srights:theracialorigins offeminism inthe United 1999,,,"['|Feminism--United States--History.', ""Women'srights--United States--History."", 'Racism--United States--History.', 'Women,White--United States--Socialconditions.', 'Minoritywomen--United States/Louise Michele Newman. States--Socialconditions.']"
Shopping around:feminine cultureandthepursuitofpleasure,1995,,"['Feminism--United States.', 'Genderidentity.', 'Femininity.', 'Femininity(Philosophy) Hilary Radner.']"
"Autobiographyofablue-eyeddevil: mylifeandtimesin aracist, c 2005",,,"['Muscio,Inga.', 'Feminists--United States--Biography.', 'Racism--United States.', 'United States--Racerelations. imperialistsociety/Inga Muscio.']"
Womenwithmustachesand menwithoutbeards:gender and 2005,,,"['Women--Iran--Socialconditions--19 thcentury.', 'Women--Iran--Socialconditions--20 thcentury.', 'Genderidentity--Iran--History.', 'Iran--Politicsandgovernment--20 thcentury. sexualanxietiesof Iranianmodernity/Afsaneh Najmabadi.']"
Whitesupremacygroups,"Mitchell Young, bookeditor",2008,"['Whitesupremacymovements.', 'Hategroups.', 'Racism.']"
Thesecondcomingofthe KKK :the Ku Klux Klanofthe 1920 s [2017] Ku Klux Klan(1915-)--History--20 thcentury,,,"['Racism--United States--History--20 thcentury.', 'Hate groups--United States--History--20 thcentury.', 'Politicalculture--United States--History-- andthe Americanpoliticaltradition/Linda Gordon. 20 thcentury.', 'United States--Racerelations--History--20 thcentury.']"
Ku Kluxkulture Americaandthe Klan inthe 1920 s,Felix [2017] Ku Klux Klan(1915-)--History,,"['United States--Ethnicrelations.', 'Popularculture--United States--20 thcentury.', 'Racism--United States. Harcourt.']"
Niceracism: howprogressive Whitepeopleperpetuateracialharm [2021] Social Science,Discrimination,,"['Race relations.', 'Racism.', 'Whites. /Robin Di Angelo.']"
Whitefragility:whyit'sso hardfor Whitepeopletotalkabout [2018] Racism,,,"['Whites.', 'Racerelations. racism/Robin Di Angelo.']"
Hatreds:racialized andsexualizedconflictsin the 21 stcentury,1996,2025,"['Racism.', 'Sexism.', 'Patriarchy.', 'Post-communism.', 'Feminism. Zillah Eisenstein. Page 12 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Thespectre ofrace:howdiscriminationhauntswesterndemocracy [2018] Race discrimination,,,"['Politicaltheologyandrace.', 'Democracy--History.', 'Racism--Politicalaspects--Westerncountries.', 'Race discrimination--Westerncountries--History. /Michael G.Hanchard.']"
Thisbookisanti-racist,by Tiffany Jewell;illustratedby 2020,,"['Youngadultnonfiction.', 'Instructional andeducationalworks.', 'Self-helppublications.', 'Juvenileworks.', 'Anti-racism--United States--Juvenileliterature.', 'Racism--Juvenileliterature.', 'United Aur<U+fffd>elia Durand. States--Race relations--Juvenileliterature.', 'Intersectionality(Sociology)--Juvenileliterature.', 'Racediscrimination--Prevention--Juvenileliterature.', 'African Americans--Socialconditions--21 st century--Juvenileliterature.']"
Aformulaforeradicatingracism: debunkingwhite supremacy,[2016] Racism--Prevention--Governmentpolicy--United States,,"['Racism--Prevention.', 'United States--Racerelations--Governmentpolicy. Timothy Mc Gettigan Professorof Sociology,Colorado State University, Pueblo,USA and Earl Smith Rubin Professorand Director,American Ethnic Studies, and Professorof Sociology, Wake Forest University.USA.']"
"Mixedmessages:multiracial identitiesin the""color-blind""era",2006,,"['Racism.', 'Equality.', 'Socialjustice.', 'Raciallymixedpeople--United States.', 'Minorities--United States--Socialconditions. editedby David L. Brunsma.']"
"Hateonthe net extremistsites,neo-fascismon-line, electronic c 2008",,,"['Racism--Computernetworkresources.', 'Racediscrimination--Computernetworkresources.', 'Antisemitism--Computernetworkresources.', 'Internet.', 'World Wide Web.', 'Cyberspace--Social jihad Antonio Roversi,Lawrence Smith. aspects.', 'Technology--Socialaspects.']"
"I'mnotaracist,but--;the moralquandaryofrace",Lawrence 2002,,"['Racism--Moralandethicalaspects.', 'Racediscrimination.', 'Socialethics. Blum.']"
Stainremoval:ethics and race,J,2017,"['Reid Miller. [2017] Racism--Moralandethical aspects.', 'Socialethics.']"
Raceandtheeducation ofdesire:Foucault's Historyofsexuality 1995,,1926,"['Racism.', 'Indigenouspeoples.', 'Foucault,Michel,--1926-1984.--Histoiredelasexualité. andthe colonialorderofthings/by Ann Laura Stoler.']"
Teachingraceandanti-racismincontemporary America:adding c 2014,,,"['Racism--Studyandteaching(Higher)--United States.', 'Anti-racism--Studyandteaching(Higher)--United States.', 'Racerelations--Studyandteaching(Higher)--United States.', 'United States-- contexttocolorblindness/Kristin Haltinner, editor. |Race relations--Studyandteaching(Higher)', 'Racismineducation.', 'Multiculturaleducation--United States.', 'Multiculturalism--United States.']"
Whatdoesitmeantobewhite?: developingwhiteracialliteracy,©2012,,"['Whites--Raceidentity.', 'Racerelations.', 'Racism. Robin Di Angelo.']"
Idon'tseecolor:personaland critical perspectivesonwhite [2015] Whites--Raceidentity,,,"['Racism.', 'Racerelations. privilege editedby Bettina Bergoand Tracey Nicholls.']"
Themachineryofwhiteness studiesinthestructureof 2010,,,"['Whites--Raceidentity.', 'Racism--United States--History.', 'United States--Racerelations--History. racialization/Steve Martinot.']"
"Meandwhitesupremacy: combatracism, changetheworld,and [2020] Self-helppublications",,,"['Whites.', 'Racism.', 'Anti-racism.', 'Racediscrimination.', 'Racerelations.', 'Equality.', 'Privilege(Socialpsychology)', 'Stereotypes(Socialpsychology) becomeagood ancestor/Layla F.Saad.']"
Revealingwhiteness:theunconscioushabitsofracialprivilege,c 2006,,"['Whites--Raceidentity.', 'Racism.', 'Racediscrimination.', 'United States--Racerelations.', 'United States--Ethnicrelations.', 'Habit--Socialaspects. Shannon Sullivan.']"
Whiteself-criticalitybeyondanti-racism :howdoes itfeeltobea [2015] Whites,,,"['Whites--United States.', 'Racism.', 'Racerelations.', 'United States--Racerelations. whiteproblem?/editedby George Yancy.']"
Thepriceofprogressivepolitics:thewelfarerights movementin c 2010,,,"['Welfarerights movement--United States.', 'Welfarerecipients--United States--Publicopinion.', 'Publicwelfareinmassmedia.', 'Racism--United States.', 'Racisminsocialservices--United States. aneraofcolorblindracism/Rose Ernst.']"
Creatinggender:thesexualpoliticsofwelfarepolicy,Cathy 2007,1996,"['|Publicwelfare--United States.', 'Familypolicy--United States.', 'Sexrole--Governmentpolicy--United States.', 'Genderidentity--United States.', 'United States.--Personal Responsibilityand Work Marie Johnson,Georgia Duerst-Lahti, Noelle H.Norton. Opportunity Reconciliation Act of 1996.']"
Lynching:Americanmobmurder inglobalperspective,Robert c 2011,,"['Lynching--United States.', 'Racism--United States.', 'African Americans--Crimesagainst.', 'Lynching.', 'Racism. W.Thurston.']"
Insideorganizedracism:womeninthehate movement,Kathleen c 2002,,"['Hategroups--United States.', 'Whitesupremacymovements--United States.', 'Racism--United States.', 'Women,White--United States--Psychology.', 'Women,White--United States--Attitudes.', 'M.Blee. Women,White--United States--Conductoflife.', 'Whites--United States--Raceidentity.', 'United States--Racerelations.']"
Policing Blackbodies:how Blacklivesare surveilledand howto [2018] Discriminationincriminaljustice administration--United States,,2025,"['Discriminationinlawenforcement--United States.', 'African Americans--Socialconditions--21 stcentury.', 'Racialprofilingin workforchange/Angela J.Hatteryand Earl Smith. lawenforcement--United States.', 'African Americancriminals.', 'African American men--Socialconditions.', 'Racismincriminology--United States.', 'Policebrutality--United States.', 'United |States--Racerelations--21 stcentury. Page 13 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Police violenceand race the effectsofracial focusingeventson [2016] United States--Racerelations,,1992,"['Racism--United States.', 'Policemisconduct--United States.', 'Rodney King Riots,Los Angeles, Calif., 1992.', 'Policeshootings--Missouri--Ferguson. attitudesaboutracerelations/by Midshipman Gavin D.Jernigan, USN.']"
Raceandthemaking of Americanpoliticalscience,Jessica Blatt,2018,"['Politicalscience--United States--History.', 'Race.', 'Politicalscience--Studyandteaching(Higher)--History.--United States', 'Racism--United States--History.']"
Theorizingdiscriminationinanera ofcontestedprejudice: 2008,,,"['Discrimination--United States.', 'Sexism--United States.', 'Racism--United States.', 'United States--Racerelations. discriminationinthe United States/Samuel Roundfield Lucas.']"
Onlywords,Catharine A,1993,"['Mac Kinnon. 1993. Freedomofspeech--United States.', 'Equalitybeforethelaw--United States.', 'Hatespeech--United States.', 'Racisminlanguage.', 'Sexisminlanguage--United States.', 'Pornography.']"
Sex,"genderoutsiders,hatespeech, and freedomofexpression:can 1998",,"['Freedomofspeech--United States.', 'Hatespeech--United States.', 'Gays--Legalstatus,laws,etc.--United States.', 'Lesbians--Legalstatus,laws,etc.--United States.', 'Bisexuals--Legalstatus,laws, theysaythataboutme?/Martha T.Zingo. etc.--United States.', 'Transsexuals--Legalstatus, laws, etc.--United States.']"
"Wordsthatwound:criticalracetheory, assaultivespeech,andthe 1993",,,"['Libelandslander--United States.', 'Hatecrimes--United States.', 'Freedom ofspeech--United States.', 'Racisminlanguage. First Amendment/Mari J. Matsuda... [et al.]']"
"Wordsthatwound:criticalracetheory, assaultivespeech,andthe 1993",,,"['Libelandslander--United States.', 'Hatecrimes--United States.', 'Freedom ofspeech--United States.', 'Racisminlanguage. First Amendment/Mari J. Matsuda... [et al.]']"
Crook County:racismand injusticein America'slargestcriminal [2017] Discriminationincriminaljustice administration--Illinois--Cook County,,,"['Racism--Illinois--Cook County.', 'Criminalcourts--Illinois--Cook County.', 'Minorities--Legalstatus,laws,etc.--Illinois- court/Nicole Gonzalez Van Cleve. -Cook County.']"
Teaching Whitesupremacy:America's democraticordealandthe [2022] Discriminationineducation--United States--History,,,"['Whitenationalism--United States--History.', 'Textbookbias--United States.', 'Racismintextbooks--United States.', 'Education--Curricula-- forgingofournationalidentity/Donald Yacovone. History.--United States', 'Educationandstate--United States.', 'Racediscrimination--United States--History.', 'United States--Racerelations--Philosophy.', 'United States--History--Library resources.']"
Academicoutsider:stories ofexclusionandhope,Victoria Reyes,2022,"['Reyes,Victoria--(Victoria Diane)', 'Discrimination inhighereducation--United States.', 'Racisminhighereducation--United States.', 'Sexisminhighereducation--United States.', 'Minoritycollege teachers--United States--Social conditions.', 'Collegeteachers--Tenure--United States.', 'Minoritywomencollegeteachers--United States--Biography.', 'Minoritiesinhighereducation.', 'Discriminationinhighereducation.']"
Nocommonground:Confederatemonumentsandtheongoing [2021] Soldiers'monuments--Socialaspects--History,,,"['--Southern States', 'Collectivememory--Socialaspects--Southern States.', 'Protestmovements--Southern States--History.', 'Social movements-- fightforracialjustice/Karen L.Cox. Southern States--History.', 'Whitesupremacymovements--Southern States--History.', 'Racism--Southern States--History.', 'United States--History--Monuments--Socialaspects--Civil War,1861- 1865--Southern States.', 'Confederate States of America--Historiography.', 'Southern States--Racerelations--History.']"
Critical Race Theoryandeducation:a Marxistresponse,Mike 2009,,"['Racismineducation--United States.', 'Racismineducation--Great Britain.', 'Discriminationineducation--United States.', 'Discriminationineducation--Great Britain.', 'Criticalpedagogy--United Cole. States.', 'Criticalpedagogy--Great Britain.']"
Confrontingracisminhighereducation:problemsandpossibilities [2013] Discriminationineducation--United States,,,"['Racismineducation--United States.', 'Education,Higher--United States. forfightingignorance,bigotryandisolation/editedby Jeffrey S. Brooks,Iowa State University,Noelle Witherspoon Arnold, Universityof Missouri-Columbia.']"
Therighttobeout sexualorientationand genderidentityin c 2010,,,"['Genderidentityineducation--United States.', 'Sexualorientation--United States.', ""Publicschools--Socialaspects--United States. America'spublicschools/Stuart Biegel.""]"
Theanti-racistwritingworkshop:howtodecolonizethecreative 2021,,,"['|Anti-racism--Studyandteaching--United States.', 'Racismineducation.', 'Multiculturalism.', 'Multiculturaleducation--United States.', 'Englishlanguage--Rhetoric--Studyandteaching--Social classroom/Felicia Rose Chavez. aspects.', 'Englishlanguage--Rhetoric--Studyandteaching--Evaluation.', 'Authorship--Studyandteaching.', ""Writers'workshops."", 'Englishlanguage--Style.']"
"Censoring racialridicule: Irish,Jewish,and African American [2015] Racismandthearts--United States--History--19 thcentury",,1930,"['Racismandthearts--United States--History--20 thcentury.', 'Stereotypes(Socialpsychology)inmotionpictures.', 'Theaterandsociety- strugglesoverraceandrepresentation,1890-1930 /M.Alison -United States--History--19 thcentury.', 'Theaterandsociety--United States--History--20 thcentury.', 'Racisminpopularculture--United States--History--19 thcentury.', 'United States--Ethnic Kibler. relations--History--19 th century.', 'United States--Ethnicrelations--History--20 thcentury.']"
"Gender,participationandsilencein the languageclassroom:sh- 2004",,,"['Language andlanguages--Studyand teaching.', 'Genderidentityineducation.', 'Languageandlanguages--Sexdifferences.', 'Minorities--Education.', 'Women--Language. shushingthegirls/Allyson Julé.']"
"Genderedmedia:women,men,and identitypolitics",Karen Ross,2010,"['Massmedia andsex.', 'Sexdifferencesinmassmedia.', 'Sexisminmassmedia.', 'Womeninmassmedia.', 'Genderidentityinmassmedia. Page 14 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Raciolinguistics:howlanguage shapes ourideasaboutrace,[2016] Racisminlanguage,,"['Critical discourseanalysis--Socialaspects.', 'Sociolinguistics. editedby H.Samy Alim,John R.Rickford and Arnetha F.Ball.']"
Masculinities withoutmen?:femalemasculinityintwentieth- c 2004,,,"['Genderidentityinliterature.', 'Lesbianisminliterature.', 'Masculinityinliterature.', 'Fiction--20 thcentury--Historyandcriticism.', 'Womeninmotionpictures. centuryfictions/Jean Bobby Noble.']"
Decipheringculture:ordinarycuriosities and subjectivenarratives 2000,,,"['Individuation(Psychology)inliterature.', 'Individuation(Psychology)', 'Genderidentityinliterature.', 'Genderidentity. /Jane Crisp,Kay Ferres,and Gillian Swanson.']"
"Notions ofidentity,diaspora, andgender in Caribbean women's 2009",,,"['Caribbeanliterature--Womenauthors--Historyandcriticism.', 'Groupidentityinliterature.', 'Genderidentityinliterature.', 'Caribbean Area--Inliterature.', 'West Indies--Inliterature. writing/Brinda Mehta.']"
"Wasthe Catinthe Hatblack?:thehiddenracism ofchildren's [2017] Children's literature,American--Historyandcriticism",,,"['Racein literature.', 'Racisminliterature. literature,andtheneed fordiversebooks/Philip Nel.']"
Pretty,funny:womencomediansandbodypolitics/by Linda 2014,1970,"['Griffin,Kathy.', 'Fey,Tina,--1970-', 'Cho,Margaret.', 'Silverman,Sarah.', 'Sykes, Wanda.', 'De Generes,Ellen.', 'Womencomedians--United States.', 'Femininebeauty(Aesthetics)--United States.', 'Mizejewski. Feminism.', 'Racism--United States.']"
Thebirthofwhiteness:raceandtheemergenceof U,,1996,"['S. cinema/ c 1996. Minorities inmotionpictures.', 'Racisminmotionpictures.', 'Racerelationsinmotionpictures.', 'Silentfilms--United States--Historyand criticism. editedby Daniel Bernardi.']"
Colorization:onehundred years of Blackfilmsinawhiteworld,2021,,"['African Americans inmotionpictures.', 'Raceinmotionpictures.', 'Racisminmotionpictures.', 'Motionpictures--United States--History.', 'United States--Racerelations. Wil Haygood.']"
The Southneverplays itself:afilmbuff'sjourneythroughthe [2020] Racisminmotionpictures,,,"['Motionpictures--United States--History.', 'Southern States--Inmotionpictures. Southonscreen/Ben Beard.']"
Blackface,Ayanna Thompson,2021,"['Blackface--History.', 'Blackfaceentertainers--History.', 'Blackfaceentertainers--United States--History.', 'Racism--History.', 'Racism--United States--History.', 'Raceinthetheater.', 'Stereotypes |(Socialpsychology)intheperformingarts.', 'Theater--History.']"
Haunted city threecenturies ofracialimpersonationin [2017] Philadelphia Mummers(Organization)--History,,,"['Theater--Pennsylvania--Philadelphia--History.', 'Blackfaceentertainers--Pennsylvania--Philadelphia--History.', 'Mumming--Pennsylvania-- Philadelphia/Christian Du Comb. Philadelphia--History.', 'Racism andthearts--Pennsylvania--Philadelphia--History.', 'Parades--Pennsylvania--Philadelphia--History.']"
Thehighdesert,James Spooner,2022,"['Spooner,James--Childhoodandyouth--Comicbooks, strips,etc.', 'Cartoonists--United States--Biography--Comicbooks,strips,etc.', 'Raciallymixedpeople--United States--Biography--Comic books,strips,etc.', 'Raciallymixedpeople--Race identity--United States--Comicbooks, strips,etc.', 'Musicandrace--United States--Comicbooks,strips,etc.', 'Punkrockmusic--Socialaspects-- Comicbooks,strips,etc.', 'Punkculture--Comicbooks,strips,etc.', 'Racism--United States--Comicbooks,strips,etc.', 'African Americans--California--Apple Valley--Comicbooks,strips,etc.', 'Teenagers--California--Apple Valley--Comic books,strips,etc.:Nineteeneighties--Comicbooks,strips,etc.']"
Gendertransgressions: crossingthenormativebarrierin Old 1998,,,"['Frenchliterature--To 1500--Historyandcriticism.', 'Sexroleinliterature.', 'Genderidentityinliterature.', 'Homosexualityinliterature. Frenchliterature/edited by Karen J.Taylor.']"
"Gender,rhetoric, andprintculturein French Renaissancewriting",2000,,"['Frenchliterature--16 thcentury--Historyandcriticism.', 'Frenchliterature--17 thcentury--Historyandcriticism.', 'Sexinliterature.', 'Genderidentityinliterature. Floyd Gray.']"
Gender and citizenship:thedialectics ofsubject-citizenshipin c 2000,,,"['Frenchliterature--19 thcentury--Historyandcriticism.', 'Genderidentityinliterature.', 'Androgyny(Psychology)inliterature. nineteenth-century Frenchliteratureand culture/Claudia Moscovici.']"
"Fairytales,sexuality, andgenderin France, 1690-1715 :nostalgic 1996",,,"['Fairytales--France--Historyandcriticism.', 'Frenchfiction--17 thcentury--Historyandcriticism.', 'Frenchfiction--18 thcentury--Historyandcriticism.', 'Sexinliterature.', 'Genderidentityin utopias/Lewis C. Seifert. literature.', 'Marvelous, The,inliterature.', 'Utopiasinliterature.']"
Subversivesubjects:reading Marguerite Yourcenar,editedby c 2004,,"['Yourcenar,Marguerite--Criticismandinterpretation.', ""Genderidentityin literature. |Judith Holland Sarneckiand Ingeborg Majer O'Sickey.""]"
L'enfantdesable roman,Tahar Ben Jelloun,1995,"[', c 1985. Patriarchy--Fiction.', 'Sex(Psychology)--Fiction.', 'Genderidentity--Fiction.', 'Middle East--Sociallifeandcustoms--Fiction.', 'Islam--Socialaspects--Fiction.']"
Cigarsmokeandvioletwater:gendereddiscourseinthestoriesof c 1998,,1921,"['Pardo Bazán,Emilia,--condesade,--1852-1921--Criticism andinterpretation.', 'Genderidentityin literature. Emilia Pardo Bazán/Joyce Tolliver.']"
Genderand identityformationincontemporary Mexicanliterature,1998,,"['Mexicanfiction--20 thcentury--Historyandcriticism.', 'Genderidentityinliterature. Marina Pérezde Mendiola.']"
Post-closetmasculinities inearlymodern England,A,2009,"['W.Barnes. c 2009. Englishliterature--Earlymodern, 1500-1700--Historyandcriticism.', 'Masculinityinliterature.', 'Sexualorientationinliterature.', 'Genderidentityinliterature.', 'Sexroleinliterature. Page 15 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Readingsex intheeighteenthcentury:bodies andgenderin 2004,,,"['Englishliterature--18 thcentury--Historyandcriticism.', 'Eroticliterature, English--Historyandcriticism.', 'Genderidentityinliterature.', 'Humanbodyinliterature.', 'Sexinliterature. Englisherotic culture/Karen Harvey.']"
Romantic friendshipin Victorianliterature,Carolyn W,2007,"['dela L. c 2007. English literature--19 thcentury--Historyandcriticism.', 'Friendshipinliterature.', 'Malefriendshipinliterature.', 'Femalefriendship inliterature.', 'Loveinliterature.', 'Genderidentityinliterature.', 'Oulton. Homosexualityinliterature.', 'Lesbianismin literature.']"
Meninwonderland:thelostgirlhoodofthe Victoriangentlemen,c 2001,1900,"['English literature--19 thcentury--Historyandcriticism.', 'Girlsin literature.', 'Englishliterature--Maleauthors--Historyandcriticism.', 'Carroll,Lewis,--1832-1898--Characters--Girls.', 'Ruskin, Catherine Robson. John,--1819-1900--Characters--Girls.', 'Innocence(Psychology) inliterature.', 'Genderidentityinliterature.', 'Childreninliterature.', 'Sexroleinliterature.', 'Meninliterature.']"
