Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Authors,Description,Categories,Page Count,Published Date
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,New York,Wappingers Central School District,Mar-22,Formal Challenge,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,New York,Yorktown Central School District,Jan-22,Formal Challenge,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Ohio,Hudson City Schools,Sep-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,Downingtown Area School District,Oct-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,East Stroudsburg Area School District,Nov-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Pennsylvania,Fairview School District,Jun-22,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,Kutztown Area School District,Nov-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,,,,Pennsylvania,North Penn School District,Sep-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,Wissahickon School District,Oct-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,South Carolina,Fort Mill Schools,Nov-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Birdville Independent School District,Oct-21,Formal Challenge,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Canutillo Independent School District,Oct-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Clear Creek Independent School District,Dec-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,Dec-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Fort Bend ISD,Jan-22,Formal Challenge,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,Nov-21,Formal Challenge,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Killeen Independent School District,Nov-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,Jan-22,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Spring Branch Independent School District,Nov-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Utah,Canyons School District,Oct-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Fairfax County Public Schools,Sep-21,Formal Challenge,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Hanover County Public Schools,Jan-22,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Harrisonburg City Public Schools,Nov-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Virginia,Loudoun County Public Schools,Sep-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Virginia Beach City Public Schools,Oct-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Washington,Central Kitsap School District,Nov-21,Administrator,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Washington,Walla Walla Public Schools,Feb-22,Formal Challenge,Maia Kobabe,"In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",Comics & Graphic Novels,243,2019-05-28
"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May-22,Administrator,Ronald Koertge,The witty and wrenching tale of three best friends in their final weeks of high school.,Juvenile Fiction,184,2005
"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Ronald Koertge,The witty and wrenching tale of three best friends in their final weeks of high school.,Juvenile Fiction,184,2005
"Konigsberg, Bill",Honestly Ben (Openly Straight Series),Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Bill Konigsberg,"In the companion to Openly Straight, Ben confronts pressure at school, repression at home, and his passion for two very different people in figuring out what it takes to be Honestly Ben. The companion to the award-winning Openly Straight, called ""remarkable...deeply satisfying and as honest as its appealing protagonist"" (Booklist). Perfect for fans of David Levithan, Andrew Smith, and John Green!Ben Carver is back to normal. He's working steadily in his classes at the Natick School. He just got elected captain of the baseball team. He's even won a full scholarship to college, if he can keep up his grades. All that foolishness with Rafe Goldberg the past semester is in the past.Except...There's Hannah, the gorgeous girl from the neighboring school, who attracts him and distracts him. There's his mother, whose quiet unhappiness Ben is noticing for the first time. School is harder, the pressure higher, the scholarship almost slipping away. And there's Rafe, funny, kind, dating someone else . . . and maybe the real normal that Ben needs.",Young Adult Fiction,327,2017-03-28
"Konigsberg, Bill",Openly Straight (Openly Straight Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,Jan-22,Administrator,Bill Konigsberg,"The award-winning novel about being out, being proud, and being ready for something else. Rafe is a normal teenager from Boulder, Colorado. He plays soccer. He's won skiing prizes. He likes to write. And, oh yeah, he's gay. He's been out since 8th grade, and he isn't teased, and he goes to other high schools and talks about tolerance and stuff. And while that's important, all Rafe really wants is to just be a regular guy. Not that GAY guy. To have it be a part of who he is, but not the headline, every single time. So when he transfers to an all-boys' boarding school in New England, he decides to keep his sexuality a secret -- not so much going back in the closet as starting over with a clean slate. But then he sees a classmate breaking down. He meets a teacher who challenges him to write his story. And most of all, he falls in love with Ben... who doesn't even know that love is possible.",Young Adult Fiction,346,2013-05-28
"Konigsberg, Bill",Openly Straight (Openly Straight Series),Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Bill Konigsberg,"The award-winning novel about being out, being proud, and being ready for something else. Rafe is a normal teenager from Boulder, Colorado. He plays soccer. He's won skiing prizes. He likes to write. And, oh yeah, he's gay. He's been out since 8th grade, and he isn't teased, and he goes to other high schools and talks about tolerance and stuff. And while that's important, all Rafe really wants is to just be a regular guy. Not that GAY guy. To have it be a part of who he is, but not the headline, every single time. So when he transfers to an all-boys' boarding school in New England, he decides to keep his sexuality a secret -- not so much going back in the closet as starting over with a clean slate. But then he sees a classmate breaking down. He meets a teacher who challenges him to write his story. And most of all, he falls in love with Ben... who doesn't even know that love is possible.",Young Adult Fiction,346,2013-05-28
"Konigsberg, Bill",The Bridge,Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Gay Talese,"Celebrating the 50th anniversary of its completion, a detailed history of the construction of the longest suspension bridge in the United States, linking Brooklyn and Staten Island, features photos and architectural drawings while detailing all the drama and political maneuvering.",History,194,2014-10-28
"Konigsberg, Bill",The Bridge,Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Gay Talese,"Celebrating the 50th anniversary of its completion, a detailed history of the construction of the longest suspension bridge in the United States, linking Brooklyn and Staten Island, features photos and architectural drawings while detailing all the drama and political maneuvering.",History,194,2014-10-28
"Konigsberg, Bill",The Music of What Happens,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,Nov-21,Administrator,Bill Konigsberg,"From the award-winning author of Openly Straight, a story about two teens falling in love over a summer that throws everything possible to keep them apart. * ""Konigsberg demonstrates once again why he is one of the major voices in LGBTQ literature."" -- Booklist, starred reviewMax: Chill. Sports. Video games. Gay and not a big deal, not to him, not to his mom, not to his buddies. And a secret: An encounter with an older kid that makes it hard to breathe, one that he doesn't want to think about, ever.Jordan: The opposite of chill. Poetry. His ""wives"" and the Chandler Mall. Never been kissed and searching for Mr. Right, who probably won't like him anyway. And a secret: A spiraling out of control mother, and the knowledge that he's the only one who can keep the family from falling apart.Throw in a rickety, 1980s-era food truck called Coq Au Vinny. Add in prickly pears, cloud eggs, and a murky idea of what's considered locally sourced and organic. Place it all in Mesa, Arizona, in June, where the temp regularly hits 114. And top it off with a touch of undeniable chemistry between utter opposites.Over the course of one summer, two boys will have to face their biggest fears and decide what they're willing to risk -- to get the thing they want the most.",Young Adult Fiction,285,2019-02-26
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Bill Konigsberg,"From the award-winning author of Openly Straight, a story about two teens falling in love over a summer that throws everything possible to keep them apart. * ""Konigsberg demonstrates once again why he is one of the major voices in LGBTQ literature."" -- Booklist, starred reviewMax: Chill. Sports. Video games. Gay and not a big deal, not to him, not to his mom, not to his buddies. And a secret: An encounter with an older kid that makes it hard to breathe, one that he doesn't want to think about, ever.Jordan: The opposite of chill. Poetry. His ""wives"" and the Chandler Mall. Never been kissed and searching for Mr. Right, who probably won't like him anyway. And a secret: A spiraling out of control mother, and the knowledge that he's the only one who can keep the family from falling apart.Throw in a rickety, 1980s-era food truck called Coq Au Vinny. Add in prickly pears, cloud eggs, and a murky idea of what's considered locally sourced and organic. Place it all in Mesa, Arizona, in June, where the temp regularly hits 114. And top it off with a touch of undeniable chemistry between utter opposites.Over the course of one summer, two boys will have to face their biggest fears and decide what they're willing to risk -- to get the thing they want the most.",Young Adult Fiction,285,2019-02-26
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Bill Konigsberg,"From the award-winning author of Openly Straight, a story about two teens falling in love over a summer that throws everything possible to keep them apart. * ""Konigsberg demonstrates once again why he is one of the major voices in LGBTQ literature."" -- Booklist, starred reviewMax: Chill. Sports. Video games. Gay and not a big deal, not to him, not to his mom, not to his buddies. And a secret: An encounter with an older kid that makes it hard to breathe, one that he doesn't want to think about, ever.Jordan: The opposite of chill. Poetry. His ""wives"" and the Chandler Mall. Never been kissed and searching for Mr. Right, who probably won't like him anyway. And a secret: A spiraling out of control mother, and the knowledge that he's the only one who can keep the family from falling apart.Throw in a rickety, 1980s-era food truck called Coq Au Vinny. Add in prickly pears, cloud eggs, and a murky idea of what's considered locally sourced and organic. Place it all in Mesa, Arizona, in June, where the temp regularly hits 114. And top it off with a touch of undeniable chemistry between utter opposites.Over the course of one summer, two boys will have to face their biggest fears and decide what they're willing to risk -- to get the thing they want the most.",Young Adult Fiction,285,2019-02-26
